ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,9fdada16-2d6f-4713-a93b-0203acaefaf3,1,"open the Browser","browser should be open","browser open",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,ea5de4ae-97ab-4166-887b-e2ea2850a132,2,"enter the URL http://elearningm1.upskills.in/","it should navigate to Login page","page shown",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,d7bc295b-f474-4a72-820b-d589cb3b915f,3,"click on sighup","it shoud navigate to sigh up page","page opened sucessfully",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,27e8f0eb-fc5b-4430-acdf-0719043a4020,4,"enter first name",Sourabh,"it should display the name",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,9e0c27d1-929b-438b-9101-2cf6b92de120,5,"enter last name",harsh,"above details showned",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,10a60305-5ea1-4b31-8896-c3e043098746,6,"create password",Sourabhharsh@12,"it should be displayed",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,398ef3c1-f323-43fa-aa4e-e2c88f2781a3,7,"enter the email",sourabhharsh@gmail.com,"it should be displayed",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,b4fb3800-4181-4ca2-9405-41e8489aaacb,8,"enter the username",sourabhharsh11,"it should be displayed",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,f97981bf-bc7f-4aa7-9f71-d98920e8026c,9,"click the submit button",,"registration should be successfully done and it should navigate to home page",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,cd5d6f45-6069-4e57-b14d-7230175b6b36,10,"click on compose button",,"message compose page should be opened",PASS,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,6a193325-ac34-47b8-bed7-5a660e8871fd,11,"Select the ""send to"" textbox and enter ""naveen"" username",,"details shoulds be shown",UNEXECUTED,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,045b9210-3635-4fa9-b7d3-725be8a86617,12,"Enter subject details in subject textbox",,"details should be shown",UNEXECUTED,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,d3e20cbf-2925-4068-9053-73cae878f846,13,"enter message in message box and click on send message button","hi naveen this is for testing Sourabh","this massage has been send to 'naveen rav' message should be displayed",UNEXECUTED,,
feab53ab-dc14-45ce-8219-4ee139fd0cc8,"Ad hoc",,CAS-1,"Elearning Management",CaseStudy,,Unscheduled,Medium,"Sourabh Harsh","10-20-2022 14:49:44",PASS,,"10-20-2022 14:47:54",,,,,,3f882ba8-994a-4312-a6c2-e5788db44872,14,"click on logout button",,"user should be logged out",UNEXECUTED,,
